FILE_NAME,LENGTH_CENTRE,WIDTH_CENTRE,LENGTH_MINMAX,WIDTH_MINMAX,FIN_AREA,BODY_AREA,EYE_AREA
A2_Y2_M7_DSC_3957.JPG,17.028,3.6334999999999997,17.092499999999998,3.7409999999999997,22.154255749999997,47.677851749999995,2.5590159999999997
A1_Y10_M7_DSC_1507.JPG,19.266000000000002,5.244,20.5485,5.586,30.102797250000002,80.57113875,2.8802385
A2_Y14_M7_DSC_4366.JPG,19.0215,4.644,19.764,4.806,32.116823999999994,86.403267,3.20195025
A2_Y16_M1_DSC_1991.JPG,15.184000000000001,3.408,15.76,3.856,23.150336,41.664255999999995,1.8677759999999999
A1_Y1_M7_DSC_3639_2.JPG,20.475,4.956,20.811,5.103000000000001,32.207112,76.99860000000001,2.7641880000000003
A1_Y6_M7_DSC_0216.JPG,22.308,5.4015,23.049,5.85,35.62067925,94.03620525,3.12983775
A2_Y10_M7_DSC_2193.JPG,16.7865,3.658,16.8485,3.9215,14.486113999999999,49.153468249999996,2.27348575
A2_Y5_M1_DSC_0052.JPG,27.151,5.814,27.512,6.042,55.906265,123.177893,5.889715
A2_Y3_M7_DSC_6121.JPG,20.672,5.13,21.299,5.225,33.186008,82.132915,3.3847359999999997
A2_Y9_M1_DSC_7343.JPG,14.5665,3.051,14.6745,3.2265,11.62809675,35.736673499999995,1.61382375
A2_Y14_M7_DSC_6606.JPG,16.458,3.9,16.977999999999998,4.004,22.754497999999998,49.564826999999994,2.4324169999999996
A1_Y7_M7_DSC_0070.JPG,21.622,5.415,22.268,5.586,24.940407,87.941405,3.239614
A3_Y3_M1_DSC_7343.JPG,19.052,4.4879999999999995,19.491999999999997,4.62,27.748203999999998,63.04874399999999,2.7525079999999997
A3_Y5_M1_DSC_0049.JPG,16.578,3.5999999999999996,16.956,3.7979999999999996,26.457516,48.14672399999999,2.3975999999999997
A1_Y15_M1_DSC_3454.JPG,14.337,3.321,14.9445,3.672,13.57197525,39.294557999999995,1.67250825
A1_Y9_M1_DSC_7419.JPG,17.332,4.214,17.906,4.298,22.092336000000003,62.043212000000004,2.0705440000000004
A2_Y5_M7_DSC_0078.JPG,16.454,4.18,17.005,4.294,18.604496,51.461272,2.263831
